country,year1,year2,index1,index2,households
nigeria,2010,2015,951,1432,3.0
nigeria,2010,2015,952,1433,6.0
nigeria,2010,2015,953,1434,6.0
nigeria,2010,2015,954,1435,6.0
nigeria,2010,2015,955,1436,4.0
nigeria,2010,2015,956,1437,4.0
nigeria,2010,2015,957,1438,5.0
nigeria,2010,2015,958,1439,5.0
nigeria,2010,2015,959,1440,5.0
nigeria,2010,2015,960,1441,4.0
nigeria,2010,2015,961,1442,6.0
nigeria,2010,2015,962,1443,5.0
nigeria,2010,2015,963,1444,8.0
nigeria,2010,2015,964,1445,3.0
nigeria,2010,2015,965,1446,8.0
nigeria,2010,2015,966,1447,6.0
nigeria,2010,2015,967,1448,6.0
nigeria,2010,2015,968,1449,6.0
nigeria,2010,2015,969,1450,4.0
nigeria,2010,2015,970,1451,9.0
nigeria,2010,2015,971,1452,7.0
nigeria,2010,2015,972,1453,7.0
nigeria,2010,2015,973,1454,8.0
nigeria,2010,2015,974,1455,5.0
nigeria,2010,2015,975,1456,9.0
nigeria,2010,2015,976,1457,4.0
nigeria,2010,2015,977,1458,9.0
nigeria,2010,2015,978,1459,8.0
nigeria,2010,2015,979,1460,3.0
nigeria,2010,2015,980,1461,7.0
nigeria,2010,2015,981,1462,6.0
nigeria,2010,2015,982,1463,5.0
nigeria,2010,2015,983,1464,3.0
nigeria,2010,2015,984,1465,8.0
nigeria,2010,2015,985,1466,7.0
nigeria,2010,2015,986,1467,3.0
nigeria,2010,2015,987,1468,6.0
nigeria,2010,2015,988,1469,8.0
nigeria,2010,2015,989,1470,6.0
nigeria,2010,2015,990,1471,8.0
nigeria,2010,2015,991,1472,8.0
nigeria,2010,2015,992,1473,10.0
nigeria,2010,2015,993,1474,7.0
nigeria,2010,2015,994,1475,8.0
nigeria,2010,2015,995,1476,7.0
nigeria,2010,2015,996,1477,8.0
nigeria,2010,2015,997,1478,7.0
nigeria,2010,2015,998,1479,6.0
nigeria,2010,2015,999,1480,8.0
nigeria,2010,2015,1000,1481,8.0
nigeria,2010,2015,1001,1482,8.0
nigeria,2010,2015,1002,1483,4.0
nigeria,2010,2015,1003,1484,6.0
nigeria,2010,2015,1004,1485,6.0
nigeria,2010,2015,1005,1486,2.0
nigeria,2010,2015,1006,1487,10.0
nigeria,2010,2015,1007,1488,7.0
nigeria,2010,2015,1008,1489,7.0
nigeria,2010,2015,1009,1490,8.0
nigeria,2010,2015,1010,1491,3.0
nigeria,2010,2015,1011,1492,8.0
nigeria,2010,2015,1012,1493,7.0
nigeria,2010,2015,1013,1494,6.0
nigeria,2010,2015,1014,1495,7.0
nigeria,2010,2015,1015,1496,4.0
nigeria,2010,2015,1016,1497,9.0
nigeria,2010,2015,1017,1498,7.0
nigeria,2010,2015,1018,1499,7.0
nigeria,2010,2015,1019,1500,8.0
nigeria,2010,2015,1020,1501,1.0
nigeria,2010,2015,1021,1502,9.0
nigeria,2010,2015,1022,1503,5.0
nigeria,2010,2015,1023,1504,7.0
nigeria,2010,2015,1024,1505,6.0
nigeria,2010,2015,1025,1506,4.0
nigeria,2010,2015,1026,1507,5.0
nigeria,2010,2015,1027,1508,9.0
nigeria,2010,2015,1028,1509,8.0
nigeria,2010,2015,1029,1510,7.0
nigeria,2010,2015,1030,1511,7.0
nigeria,2010,2015,1031,1512,3.0
nigeria,2010,2015,1032,1513,8.0
nigeria,2010,2015,1033,1514,9.0
nigeria,2010,2015,1034,1515,3.0
nigeria,2010,2015,1035,1516,2.0
nigeria,2010,2015,1036,1517,5.0
nigeria,2010,2015,1037,1518,5.0
nigeria,2010,2015,1038,1519,9.0
nigeria,2010,2015,1039,1520,9.0
nigeria,2010,2015,1040,1521,5.0
nigeria,2010,2015,1041,1522,6.0
nigeria,2010,2015,1042,1523,4.0
nigeria,2010,2015,1043,1524,7.0
nigeria,2010,2015,1044,1525,4.0
nigeria,2010,2015,1045,1526,4.0
nigeria,2010,2015,1046,1527,1.0
nigeria,2010,2015,1047,1528,7.0
nigeria,2010,2015,1048,1529,4.0
nigeria,2010,2015,1049,1530,4.0
nigeria,2010,2015,1050,1531,6.0
nigeria,2010,2015,1051,1532,5.0
nigeria,2010,2015,1052,1533,7.0
nigeria,2010,2015,1053,1534,1.0
nigeria,2010,2015,1054,1535,5.0
nigeria,2010,2015,1055,1536,5.0
nigeria,2010,2015,1056,1537,2.0
nigeria,2010,2015,1057,1538,4.0
nigeria,2010,2015,1058,1539,4.0
nigeria,2010,2015,1059,1540,8.0
nigeria,2010,2015,1060,1541,5.0
nigeria,2010,2015,1061,1542,6.0
nigeria,2010,2015,1062,1543,7.0
nigeria,2010,2015,1063,1544,2.0
nigeria,2010,2015,1064,1545,9.0
nigeria,2010,2015,1065,1546,7.0
nigeria,2010,2015,1066,1547,5.0
nigeria,2010,2015,1067,1548,5.0
nigeria,2010,2015,1068,1549,7.0
nigeria,2010,2015,1069,1550,3.0
nigeria,2010,2015,1070,1551,4.0
nigeria,2010,2015,1071,1552,3.0
nigeria,2010,2015,1072,1553,2.0
nigeria,2010,2015,1073,1554,2.0
nigeria,2010,2015,1074,1555,6.0
nigeria,2010,2015,1075,1556,6.0
nigeria,2010,2015,1076,1557,8.0
nigeria,2010,2015,1077,1558,2.0
nigeria,2010,2015,1078,1559,3.0
nigeria,2010,2015,1079,1560,6.0
nigeria,2010,2015,1080,1561,4.0
nigeria,2010,2015,1081,1562,10.0
nigeria,2010,2015,1082,1563,8.0
nigeria,2010,2015,1083,1564,5.0
nigeria,2010,2015,1084,1565,7.0
nigeria,2010,2015,1085,1566,7.0
nigeria,2010,2015,1086,1567,9.0
nigeria,2010,2015,1087,1568,6.0
nigeria,2010,2015,1088,1569,4.0
nigeria,2010,2015,1089,1570,4.0
nigeria,2010,2015,1090,1571,8.0
nigeria,2010,2015,1091,1572,5.0
nigeria,2010,2015,1092,1573,10.0
nigeria,2010,2015,1093,1574,3.0
nigeria,2010,2015,1094,1575,7.0
nigeria,2010,2015,1095,1576,6.0
nigeria,2010,2015,1096,1577,7.0
nigeria,2010,2015,1097,1578,6.0
nigeria,2010,2015,1098,1579,6.0
nigeria,2010,2015,1099,1580,5.0
nigeria,2010,2015,1100,1581,7.0
nigeria,2010,2015,1101,1582,8.0
nigeria,2010,2015,1102,1583,9.0
nigeria,2010,2015,1103,1584,8.0
nigeria,2010,2015,1104,1585,3.0
nigeria,2010,2015,1105,1586,7.0
nigeria,2010,2015,1106,1587,3.0
nigeria,2010,2015,1107,1588,1.0
nigeria,2010,2015,1108,1589,9.0
nigeria,2010,2015,1109,1590,4.0
nigeria,2010,2015,1110,1591,7.0
nigeria,2010,2015,1111,1592,5.0
nigeria,2010,2015,1112,1593,4.0
nigeria,2010,2015,1113,1594,6.0
nigeria,2010,2015,1114,1595,3.0
nigeria,2010,2015,1115,1596,4.0
nigeria,2010,2015,1116,1597,9.0
nigeria,2010,2015,1117,1598,8.0
nigeria,2010,2015,1118,1599,6.0
nigeria,2010,2015,1119,1600,8.0
nigeria,2010,2015,1120,1601,3.0
nigeria,2010,2015,1121,1602,6.0
nigeria,2010,2015,1122,1603,6.0
nigeria,2010,2015,1123,1604,3.0
nigeria,2010,2015,1124,1605,7.0
nigeria,2010,2015,1125,1606,6.0
nigeria,2010,2015,1126,1607,8.0
nigeria,2010,2015,1127,1608,5.0
nigeria,2010,2015,1128,1609,7.0
nigeria,2010,2015,1129,1610,3.0
nigeria,2010,2015,1130,1611,7.0
nigeria,2010,2015,1131,1612,7.0
