country,year,lat,lon,index,et_index,n,geolev1,geolev2,rooms,electric,phone,radio,tv,auto,floor_qual,toilet_qual,watsup_qual,ea_id
uganda,2005,3.0865490436554,34.1376533508301,-1.31406757557212,,1,UGA.28,UGA.28.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0
uganda,2005,3.09229302406311,30.889102935791,-0.155758127631022,,8,UGA.3,UGA.3.2,3.125,0.0,0.0,0.75,0.75,0.0,1.0,3.75,3.75,3030006
uganda,2005,3.25135397911072,31.404354095459,-0.854514484316855,,7,UGA.58,UGA.58.1,2.14285714285714,0.0,0.0,0.285714285714286,0.285714285714286,0.0,1.0,2.0,3.14285714285714,3130003
uganda,2005,3.28149700164795,31.5641326904297,-0.394380806712138,,8,UGA.41,UGA.41.1,1.75,0.0,0.0,0.5,0.5,0.0,1.375,4.0,3.0,3090001
uganda,2005,3.30915689468384,32.8738670349121,1.16882752975498,,4,UGA.27,UGA.27.1,5.75,0.25,0.5,1.0,1.0,0.25,3.25,3.75,4.5,3050001
uganda,2005,3.32291698455811,33.0009918212891,-0.764045195027064,,1,UGA.27,UGA.27.1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0
uganda,2005,3.36475396156311,33.0603523254395,-0.845960205046887,,1,UGA.27,UGA.27.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0
uganda,2005,3.43934202194214,31.2182464599609,-0.493938708592954,,1,UGA.58,UGA.58.1,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0
uganda,2005,3.52506995201111,31.7135047912598,-1.05995358579065,,7,UGA.41,UGA.41.1,1.85714285714286,0.0,0.0,0.0,0.0,0.0,1.0,2.42857142857143,3.0,3090002
uganda,2005,3.57426190376282,31.1324863433838,-0.986184432027295,,9,UGA.58,UGA.58.1,1.55555555555556,0.0,0.0,0.222222222222222,0.222222222222222,0.0,1.0,1.77777777777778,3.0,3130001
uganda,2005,3.59047293663025,31.7256832122803,-0.92787521506671,,1,UGA.41,UGA.41.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0
uganda,2005,3.69256711006165,31.7316665649414,1.1251653568889,,1,UGA.41,UGA.41.2,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,3.0,0
uganda,2009,-1.25521600246429,30.0568199157715,0.240438859583086,,8,UGA.12,UGA.12.2,4.875,0.0,0.625,0.75,0.0,0.0,2.875,4.0,4.125,4040006
uganda,2009,-1.24143004417419,29.9611663818359,-0.0263082423162272,,8,UGA.12,UGA.12.1,3.125,0.0,0.5,0.75,0.0,0.0,2.5,4.0,4.125,4040003
uganda,2009,-1.15059995651245,29.6728382110596,-0.507860506701949,,10,UGA.26,UGA.26.1,3.1,0.0,0.3,0.3,0.0,0.0,1.0,4.0,3.8,4080002
uganda,2009,-0.987177014350891,30.1298351287842,-0.135701596433971,,10,UGA.48,UGA.48.3,2.9,0.0,0.5,0.8,0.0,0.1,1.6,4.0,3.1,4110009
uganda,2009,-0.98233699798584,30.45973777771,-0.490342714204147,,8,UGA.48,UGA.48.2,3.0,0.0,0.25,0.5,0.0,0.0,1.0,4.0,3.5,4110007
uganda,2009,-0.964900970458984,29.9596881866455,-0.268518420387051,,7,UGA.52,UGA.52.2,2.85714285714286,0.0,0.285714285714286,1.0,0.0,0.0,1.42857142857143,4.0,3.71428571428571,4120003
uganda,2009,-0.9203240275383,29.8012294769287,-0.0194237076893907,,9,UGA.19,UGA.19.1,3.88888888888889,0.0,0.666666666666667,0.888888888888889,0.0,0.111111111111111,1.0,4.0,4.11111111111111,4140005
uganda,2009,-0.903626978397369,31.7654724121094,-0.0694393269848649,,1,UGA.51,UGA.51.2,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,0
uganda,2009,-0.887125015258789,31.711088180542,-0.17502874211893,,7,UGA.51,UGA.51.2,3.85714285714286,0.0,0.571428571428571,0.714285714285714,0.0,0.0,1.42857142857143,3.71428571428571,3.14285714285714,1100005
uganda,2009,-0.867663025856018,30.3541145324707,-0.380463186562144,,9,UGA.48,UGA.48.2,3.22222222222222,0.0,0.333333333333333,0.777777777777778,0.0,0.0,1.0,3.77777777777778,3.55555555555556,4110006
uganda,2009,-0.860807001590729,30.2692756652832,0.798692477794094,,5,UGA.48,UGA.48.2,3.8,0.4,0.6,1.0,0.4,0.0,4.0,4.0,4.6,4110002
uganda,2009,-0.760571002960205,30.1790943145752,-0.176409244395661,,7,UGA.48,UGA.48.1,3.28571428571429,0.0,0.571428571428571,0.714285714285714,0.0,0.0,1.42857142857143,4.0,3.57142857142857,4110004
uganda,2009,-0.745038986206055,30.4248142242432,-0.15085988054701,,7,UGA.39,UGA.39.8,3.42857142857143,0.0,0.285714285714286,1.0,0.0,0.0,1.85714285714286,4.0,3.71428571428571,4100038
uganda,2009,-0.69743800163269,30.4774150848389,-0.170734932067285,,1,UGA.39,UGA.39.8,4.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,0
uganda,2009,-0.640430986881256,29.8059825897217,-0.549347640273639,,7,UGA.52,UGA.52.1,2.42857142857143,0.0,0.142857142857143,0.571428571428571,0.142857142857143,0.0,1.0,3.57142857142857,3.42857142857143,4120005
uganda,2009,-0.639231026172638,31.5299873352051,0.373362849703282,,6,UGA.51,UGA.51.4,2.16666666666667,0.333333333333333,0.5,0.833333333333333,0.166666666666667,0.0,4.0,3.83333333333333,3.66666666666667,1100001
uganda,2009,-0.608761012554169,30.6722297668457,1.04937782042543,,5,UGA.39,UGA.39.6,5.2,0.4,1.0,0.8,0.4,0.2,3.4,3.8,4.2,4100001
uganda,2009,-0.576781988143921,31.6916370391846,-0.0962449060024193,,8,UGA.35,UGA.35.2,3.625,0.0,0.375,0.875,0.0,0.0,2.125,4.0,3.0,1050023
