"geolev","index","n.x","dhs","n.y","predictions","n","country"
"454312002",-0.472204717462769,2887,-0.660448863636364,11,-0.544120200054545,11,"Malawi"
"454312003",0.755056936946748,502,0.67809946,2,0.629602675,2,"Malawi"
"454313001",-0.537158679011107,1390,-0.620807175,14,-0.420831759,14,"Malawi"
"454313002",-0.404182511687273,914,-0.622621006,10,-0.569463437,10,"Malawi"
"454313003",-0.525117647837727,526,-0.492330664285714,7,-0.57942124,7,"Malawi"
"454313004",-0.458230137901156,439,-0.606816654,5,-0.582853248,5,"Malawi"
"454313005",-0.23907601078825,1299,-0.296120384714286,21,-0.127821944285714,21,"Malawi"
"646001001",0.810642287156806,6826,0.6576027745,20,0.76230264,20,"Rwanda"
"646001002",0.598105151077578,12931,0.5984623495,20,0.582951925,20,"Rwanda"
"646001003",0.943320736772413,7192,0.97777822725,20,0.78239753285,20,"Rwanda"
"646002001",-0.399258567502558,7487,-0.4582688063125,16,-0.226636748125,16,"Rwanda"
"646002002",-0.443801847555746,7432,-0.4882271040625,16,-0.4503643635625,16,"Rwanda"
"646002003",-0.490334747039847,6128,-0.519210496875,16,-0.483628611875,16,"Rwanda"
"646002004",-0.243469577138932,7450,-0.0994496776875,16,-0.1633884996875,16,"Rwanda"
"646002005",-0.447318247322856,7189,-0.4936882254375,16,-0.420400054375,16,"Rwanda"
"646002006",-0.392483827020906,7416,-0.5077649364375,16,-0.308353929375,16,"Rwanda"
"646002007",-0.251714943649941,7145,-0.273572390375,16,-0.274018676875,16,"Rwanda"
"646002008",-0.361471842844199,7728,-0.245065959125,16,-0.390581754375,16,"Rwanda"
"646003001",-0.414546021642166,6960,-0.391944829375,16,-0.394190565625,16,"Rwanda"
"646003002",-0.473837100949362,6784,-0.473847516875,16,-0.434210914375,16,"Rwanda"
"646003003",-0.0168194127577671,8412,-0.12862553125,16,0.2238091039375,16,"Rwanda"
"646003004",-0.391470183728013,6320,-0.513232753125,16,-0.413037811875,16,"Rwanda"
"646003005",-0.498633057744786,7519,-0.4405591495,16,-0.5329270675,16,"Rwanda"
"646003006",-0.215925387300462,8047,-0.2640984504375,16,-0.2458865579125,16,"Rwanda"
"646003007",-0.387374741948065,7865,-0.40092133025,16,-0.37624816916875,16,"Rwanda"
"646004001",-0.380363051378456,6515,-0.3995114630625,16,-0.504660050625,16,"Rwanda"
"646004002",-0.425108138185107,7624,-0.350717528125,16,-0.517595313,16,"Rwanda"
